Time (s),State,EAR,MAR,Gaze,Yawning,Roll,BaseRoll,Pitch,BasePitch,Yaw,BaseYaw
27.50,Stillness,0.000,0.147,6.727,False,-3.56,-7.04,-8.26,2.48,0.02,-0.01
27.53,Stillness,0.000,0.147,6.838,False,-3.88,-7.04,-8.46,2.45,0.02,-0.01
27.56,Stillness,0.000,0.143,6.593,False,-3.92,-7.04,-8.43,2.43,0.02,-0.01
27.60,Stillness,0.000,0.144,7.217,False,-4.09,-7.03,-8.67,2.43,0.02,-0.01
27.63,Stillness,0.000,0.152,6.708,False,-4.26,-7.03,-8.59,2.43,0.02,-0.01
27.66,Stillness,0.000,0.152,6.267,False,-4.35,-7.02,-8.52,2.43,0.02,-0.01
27.69,Stillness,0.000,0.144,6.708,False,-4.52,-7.01,-8.62,2.43,0.02,-0.01
27.72,Stillness,0.000,0.151,6.801,False,-4.66,-7.01,-8.70,2.38,0.02,-0.01
27.75,Stillness,0.000,0.151,7.000,False,-4.77,-7.01,-8.68,2.33,0.02,-0.01
27.78,Stillness,0.000,0.144,6.979,False,-5.13,-6.98,-8.67,2.32,0.02,-0.01
27.81,Stillness,0.000,0.155,7.077,False,-5.30,-6.95,-8.52,2.31,0.02,-0.01
27.84,Stillness,0.000,0.145,7.146,False,-5.25,-6.94,-8.65,2.30,0.02,-0.01
27.88,Stillness,0.000,0.132,4.039,False,-5.25,-6.93,-8.57,2.29,0.02,-0.01
27.91,Stillness,0.000,0.141,6.531,False,-5.30,-6.92,-8.40,2.28,0.02,-0.01
27.94,Stillness,0.000,0.150,6.846,False,-5.44,-6.91,-8.47,2.28,0.02,-0.01
27.97,Stillness,0.000,0.142,6.104,False,-5.39,-6.91,-8.40,2.28,0.02,-0.01
28.00,Stillness,0.000,0.154,6.152,False,-5.39,-6.91,-8.12,2.27,0.02,-0.01
28.03,Drowsy,1.000,0.154,6.152,False,-5.42,-6.90,-8.12,2.26,0.02,-0.01
28.06,Drowsy,1.000,0.155,5.445,False,-5.39,-6.90,-8.03,2.26,0.02,-0.01
28.09,Drowsy,1.000,0.142,5.834,False,-5.38,-6.89,-7.91,2.20,0.02,-0.01
28.13,Stillness,0.000,0.145,6.267,False,-5.40,-6.87,-7.89,2.13,0.02,-0.01
28.16,Stillness,0.000,0.168,6.531,False,-5.45,-6.86,-7.79,2.13,0.02,-0.01
